序号,来源,发文字号,文件名,命中关键词(泛化),命中段落摘录,取舍理由,置信度,建议处理
306,pbc,中国人民银行令〔2004〕第1号,全国银行间债券市场债券买断式回购业务管理规定,分支机构 ,[body]…第十八条 同业中心和中央结算公司应依据本规定制定相应的买断式回购的交易、结算规则。 第十九条 中国人民银行各分支机构对辖区内市场参与者的买断式回购进行日常监督。 第二十条 进行买断式回购除应遵守本规定外，还应遵守全国银行间债券…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
307,pbc,,中国人民银行残缺污损人民币兑换办法,分支机构 ,[body]…议的， 经持有人要求， 金融机构应出具认定证明并退回该残缺、 污损人民币。  持有人可凭认定证明到中国人民银行分支机构申请鉴定， 中国人民银行应自申请日起 5 个工作日内做出鉴定并出具鉴定书。 持有人可持中国人民银行的鉴定书及可…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
308,pbc,,金融机构大额和可疑外汇资金交易报告管理办法,保险机构|分支机构 ,[body]…银行划出与交易、清算无关外汇资金的；（十九）经营B股业务的证券经营机构通过银行频繁大量拆借外汇资金的；（二十）保险机构通过银行频繁大量对同一家境外投保人发生赔付或退保行为。第十一条金融机构对本办法第八条、第九条和第十条所规定情形…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
309,pbc,,中国人民银行 市场监管总局公告〔2026〕第19号,分支机构 ,[body]…十三条等规定给予处罚。非法买卖人民币涉嫌欺诈、诈骗的，依情节轻重由相关部门依法追究法律责任。 六、中国人民银行分支机构会同当地市场监督管理部门按《国务院办公厅关于禁止非法买卖人民币的通知》和本公告要求，对当地买卖人民币活动进行清…,同时存在排除信号(银行业金融机构)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
310,pbc,,中国人民银行 国家金融监督管理总局公告〔2026〕第5号,保险公司 ,[meta]…厅关于投保人与被保险人、受益人关系确认有关事项的通知》（银办发〔2016〕270号）自本公告发布之日起废止。 保险公司客户尽职调查相关事项按照《金融机构客户尽职调查和客户身份资料及交易记录保存管理办法》（中国人民银行 国家金融监…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
311,pbc,银发〔2025〕250号,中国人民银行关于印发《非银行支付机构分类评级管理办法》的通知（银发〔2025〕250号）,分支机构 ,[body]…026年2月1日起，支付机构分类评级工作按照修订后的《非银行支付机构分类评级管理办法》执行。 二、中国人民银行分支机构应当结合分类评级情况，综合评价支付机构公司治理、业务规范、备付金管理、用户权益保护、系统安全、反洗钱措施、经营…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
312,pbc,银发〔2025〕205号,中国人民银行关于落实《金融机构反洗钱和反恐怖融资监督管理办法》有关事项的通知（银发〔2025〕205号）,分支机构 ,[body]…2025〕第10号修订，以下简称《办法》），现将有关事项通知如下： 一、反洗钱监管分工 （一）中国人民银行及其分支机构负责对《办法》规定的履行金融机构反洗钱义务的机构（以下统称金融机构）进行反洗钱监管。 （二）部分全国性法人金融…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
313,pbc,银发〔2025〕124号,中国人民银行关于印发《贵金属和宝石从业机构反洗钱和反恐怖融资管理办法》的通知（银发〔2025〕124号）,分支机构 ,[body]…反洗钱义务。 中国人民银行根据从业机构洗钱风险的变化，可以调整本条第二款规定的金额。 第三条 中国人民银行及其分支机构依法对从业机构实施反洗钱监督管理和反洗钱调查，指导贵金属和宝石行业反洗钱自律管理。 第四条 实施反洗钱监督管理…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
314,pbc,银发〔2017〕261号,中国人民银行 民政部关于印发《社会组织反恐怖融资管理办法》的通知（银发〔2025〕57号）,分支机构 ,[body]…内部治理对恐怖融资风险的缓释作用，避免相关措施影响社会组织合法活动。 第五条 民政部门应当会同中国人民银行及其分支机构、社会组织业务主管单位开展反恐怖融资宣传培训，引导社会组织提高反恐怖融资意识。 中国人民银行及其分支机构应当推…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
315,pbc,银发〔2018〕102号,中国人民银行公告〔2024〕第21号（修改《中国人民银行关于进一步加强征信信息安全管理的通知》）,分支机构 ,[body]…安全年度考核评级管理办法》。  三、 将第七条修改为： “六、 建立征信信息安全监管走访机制 中国人民银行及其分支机构围绕上述政策措施的贯彻落实情况， 针对接入机构逐级建立征信信息安全监管走访机制。 ” 同时， 删除附件 4《征…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
316,pbc,银发〔2017〕126号,中国人民银行 国家外汇管理局公告〔2024〕第7号,分支机构 ,[body]…1家托管人的，默认该托管人为主报告人），负责为其办理业务登记等事项。 第四条 中国人民银行、国家外汇管理局及其分支机构依法对合格投资者的资金账户、资金收付及汇兑等实施监督、管理和检查。 第二章 登记管理 第五条 国家外汇管理局对…,同时存在排除信号(金融资产)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
317,pbc,银发〔2017〕126号,中国人民银行 国家外汇管理局关于境外机构境内发行债券资金管理有关事宜的通知(银发〔2022〕272号),分支机构 ,[body]…案等，在境内银行间债券市场、交易所债券市场等公开或非公开发行债券的行为。 二、中国人民银行、国家外汇管理局及其分支机构依法对境外机构境内发行债券涉及的账户、资金收付及汇兑等实施监督管理。 三、国家外汇管理局对境外机构境内发行债券…,"同时存在排除信号(金融资产,银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
